# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20130401,    1,  -25
  391,20130401,    2,  -21
  391,20130401,    3,  -25
  391,20130401,    4,  -31
  391,20130401,    5,  -34
  391,20130401,    6,  -37
  391,20130401,    7,  -10
  391,20130401,    8,   14
  391,20130401,    9,   32
  391,20130401,   10,   44
  391,20130401,   11,   58
  391,20130401,   12,   65
  391,20130401,   13,   72
  391,20130401,   14,   68
  391,20130401,   15,   74
  391,20130401,   16,   71
  391,20130401,   17,   60
  391,20130401,   18,   45
  391,20130401,   19,   33
  391,20130401,   20,   25
  391,20130401,   21,   17
  391,20130401,   22,    8
  391,20130401,   23,   -5
  391,20130401,   24,   -3
  391,20130402,    1,   -7
  391,20130402,    2,  -14
  391,20130402,    3,  -19
  391,20130402,    4,  -19
  391,20130402,    5,  -20
  391,20130402,    6,  -11
  391,20130402,    7,    8
  391,20130402,    8,   24
  391,20130402,    9,   43
  391,20130402,   10,   51
  391,20130402,   11,   63
  391,20130402,   12,   72
  391,20130402,   13,   80
  391,20130402,   14,   81
  391,20130402,   15,   83
  391,20130402,   16,   75
  391,20130402,   17,   64
  391,20130402,   18,   55
  391,20130402,   19,   42
  391,20130402,   20,   33
  391,20130402,   21,   24
  391,20130402,   22,   10
  391,20130402,   23,   -1
  391,20130402,   24,  -10
  391,20130403,    1,   -8
  391,20130403,    2,   -9
  391,20130403,    3,   -5
  391,20130403,    4,   -5
  391,20130403,    5,   -8
  391,20130403,    6,   -3
  391,20130403,    7,   12
  391,20130403,    8,   26
  391,20130403,    9,   45
  391,20130403,   10,   52
  391,20130403,   11,   59
  391,20130403,   12,   59
  391,20130403,   13,   57
  391,20130403,   14,   66
  391,20130403,   15,   64
  391,20130403,   16,   57
  391,20130403,   17,   45
  391,20130403,   18,   31
  391,20130403,   19,   24
  391,20130403,   20,   16
  391,20130403,   21,   20
  391,20130403,   22,   27
  391,20130403,   23,   25
  391,20130403,   24,   22
  391,20130404,    1,   22
  391,20130404,    2,   19
  391,20130404,    3,   17
  391,20130404,    4,   13
  391,20130404,    5,   13
  391,20130404,    6,   13
  391,20130404,    7,   17
  391,20130404,    8,   25
  391,20130404,    9,   31
  391,20130404,   10,   41
  391,20130404,   11,   43
  391,20130404,   12,   45
  391,20130404,   13,   52
  391,20130404,   14,   56
  391,20130404,   15,   65
  391,20130404,   16,   61
  391,20130404,   17,   60
  391,20130404,   18,   49
  391,20130404,   19,   43
  391,20130404,   20,   39
  391,20130404,   21,   33
  391,20130404,   22,   28
  391,20130404,   23,   24
  391,20130404,   24,   24
  391,20130405,    1,   15
  391,20130405,    2,   14
  391,20130405,    3,   26
  391,20130405,    4,   26
  391,20130405,    5,   23
  391,20130405,    6,   22
  391,20130405,    7,   23
  391,20130405,    8,   23
  391,20130405,    9,   24
  391,20130405,   10,   26
  391,20130405,   11,   32
  391,20130405,   12,   36
  391,20130405,   13,   37
  391,20130405,   14,   43
  391,20130405,   15,   48
  391,20130405,   16,   48
  391,20130405,   17,   46
  391,20130405,   18,   43
  391,20130405,   19,   39
  391,20130405,   20,   37
  391,20130405,   21,   35
  391,20130405,   22,   34
  391,20130405,   23,   31
  391,20130405,   24,   30
  391,20130406,    1,   29
  391,20130406,    2,   30
  391,20130406,    3,   28
  391,20130406,    4,   26
  391,20130406,    5,   24
  391,20130406,    6,   23
  391,20130406,    7,   24
  391,20130406,    8,   27
  391,20130406,    9,   30
  391,20130406,   10,   34
  391,20130406,   11,   50
  391,20130406,   12,   61
  391,20130406,   13,   76
  391,20130406,   14,   87
  391,20130406,   15,   80
  391,20130406,   16,   77
  391,20130406,   17,   75
  391,20130406,   18,   68
  391,20130406,   19,   59
  391,20130406,   20,   53
  391,20130406,   21,   50
  391,20130406,   22,   44
  391,20130406,   23,   22
  391,20130406,   24,   14
  391,20130407,    1,    2
  391,20130407,    2,  -11
  391,20130407,    3,  -27
  391,20130407,    4,  -33
  391,20130407,    5,  -35
  391,20130407,    6,  -26
  391,20130407,    7,    1
  391,20130407,    8,   12
  391,20130407,    9,   51
  391,20130407,   10,   74
  391,20130407,   11,   81
  391,20130407,   12,   90
  391,20130407,   13,  104
  391,20130407,   14,  103
  391,20130407,   15,  105
  391,20130407,   16,   99
  391,20130407,   17,   93
  391,20130407,   18,   78
  391,20130407,   19,   47
  391,20130407,   20,   19
  391,20130407,   21,   10
  391,20130407,   22,   16
  391,20130407,   23,   27
  391,20130407,   24,   32
  391,20130408,    1,   25
  391,20130408,    2,   16
  391,20130408,    3,   12
  391,20130408,    4,    4
  391,20130408,    5,   -1
  391,20130408,    6,   12
  391,20130408,    7,   30
  391,20130408,    8,   56
  391,20130408,    9,   73
  391,20130408,   10,   92
  391,20130408,   11,   91
  391,20130408,   12,  101
  391,20130408,   13,   98
  391,20130408,   14,   98
  391,20130408,   15,  105
  391,20130408,   16,   97
  391,20130408,   17,   93
  391,20130408,   18,   90
  391,20130408,   19,   80
  391,20130408,   20,   68
  391,20130408,   21,   54
  391,20130408,   22,   51
  391,20130408,   23,   44
  391,20130408,   24,   37
  391,20130409,    1,   31
  391,20130409,    2,   23
  391,20130409,    3,   17
  391,20130409,    4,   12
  391,20130409,    5,   22
  391,20130409,    6,   29
  391,20130409,    7,   41
  391,20130409,    8,   58
  391,20130409,    9,   80
  391,20130409,   10,   92
  391,20130409,   11,   81
  391,20130409,   12,   75
  391,20130409,   13,   85
  391,20130409,   14,   77
  391,20130409,   15,   84
  391,20130409,   16,   84
  391,20130409,   17,   85
  391,20130409,   18,   81
  391,20130409,   19,   76
  391,20130409,   20,   72
  391,20130409,   21,   77
  391,20130409,   22,   72
  391,20130409,   23,   68
  391,20130409,   24,   60
  391,20130410,    1,   60
  391,20130410,    2,   65
  391,20130410,    3,   66
  391,20130410,    4,   66
  391,20130410,    5,   64
  391,20130410,    6,   68
  391,20130410,    7,   78
  391,20130410,    8,   86
  391,20130410,    9,   89
  391,20130410,   10,   88
  391,20130410,   11,   98
  391,20130410,   12,   98
  391,20130410,   13,  105
  391,20130410,   14,  118
  391,20130410,   15,  108
  391,20130410,   16,  104
  391,20130410,   17,   99
  391,20130410,   18,   84
  391,20130410,   19,   62
  391,20130410,   20,   52
  391,20130410,   21,   50
  391,20130410,   22,   52
  391,20130410,   23,   66
  391,20130410,   24,   70
  391,20130411,    1,   70
  391,20130411,    2,   71
  391,20130411,    3,   74
  391,20130411,    4,   76
  391,20130411,    5,   81
  391,20130411,    6,   89
  391,20130411,    7,  106
  391,20130411,    8,  115
  391,20130411,    9,  116
  391,20130411,   10,  130
  391,20130411,   11,  118
  391,20130411,   12,  122
  391,20130411,   13,  119
  391,20130411,   14,  135
  391,20130411,   15,  136
  391,20130411,   16,  134
  391,20130411,   17,  132
  391,20130411,   18,  123
  391,20130411,   19,  114
  391,20130411,   20,   91
  391,20130411,   21,   77
  391,20130411,   22,   79
  391,20130411,   23,   75
  391,20130411,   24,   63
  391,20130412,    1,   60
  391,20130412,    2,   59
  391,20130412,    3,   62
  391,20130412,    4,   62
  391,20130412,    5,   62
  391,20130412,    6,   67
  391,20130412,    7,   78
  391,20130412,    8,  105
  391,20130412,    9,  123
  391,20130412,   10,  132
  391,20130412,   11,  120
  391,20130412,   12,  127
  391,20130412,   13,  145
  391,20130412,   14,  154
  391,20130412,   15,   87
  391,20130412,   16,  100
  391,20130412,   17,  120
  391,20130412,   18,  116
  391,20130412,   19,  109
  391,20130412,   20,  104
  391,20130412,   21,  106
  391,20130412,   22,  108
  391,20130412,   23,  101
  391,20130412,   24,   92
  391,20130413,    1,   93
  391,20130413,    2,   90
  391,20130413,    3,   89
  391,20130413,    4,   91
  391,20130413,    5,   90
  391,20130413,    6,   91
  391,20130413,    7,   92
  391,20130413,    8,  100
  391,20130413,    9,  101
  391,20130413,   10,  111
  391,20130413,   11,  127
  391,20130413,   12,  129
  391,20130413,   13,  134
  391,20130413,   14,  159
  391,20130413,   15,  149
  391,20130413,   16,  146
  391,20130413,   17,  143
  391,20130413,   18,  138
  391,20130413,   19,  128
  391,20130413,   20,  131
  391,20130413,   21,  113
  391,20130413,   22,  109
  391,20130413,   23,  113
  391,20130413,   24,  116
  391,20130414,    1,  119
  391,20130414,    2,  123
