# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20150201,    1,   -9
  391,20150201,    2,   -1
  391,20150201,    3,    4
  391,20150201,    4,    9
  391,20150201,    5,    9
  391,20150201,    6,   11
  391,20150201,    7,   14
  391,20150201,    8,   15
  391,20150201,    9,   13
  391,20150201,   10,   29
  391,20150201,   11,   40
  391,20150201,   12,   39
  391,20150201,   13,   35
  391,20150201,   14,   38
  391,20150201,   15,   35
  391,20150201,   16,   34
  391,20150201,   17,   32
  391,20150201,   18,   28
  391,20150201,   19,   13
  391,20150201,   20,   14
  391,20150201,   21,   11
  391,20150201,   22,    3
  391,20150201,   23,    7
  391,20150201,   24,    4
  391,20150202,    1,   15
  391,20150202,    2,   13
  391,20150202,    3,    5
  391,20150202,    4,    7
  391,20150202,    5,    4
  391,20150202,    6,    7
  391,20150202,    7,    8
  391,20150202,    8,    7
  391,20150202,    9,   11
  391,20150202,   10,   11
  391,20150202,   11,   15
  391,20150202,   12,   19
  391,20150202,   13,   22
  391,20150202,   14,   27
  391,20150202,   15,   28
  391,20150202,   16,   20
  391,20150202,   17,   15
  391,20150202,   18,    9
  391,20150202,   19,    7
  391,20150202,   20,    3
  391,20150202,   21,    4
  391,20150202,   22,    4
  391,20150202,   23,    4
  391,20150202,   24,    5
  391,20150203,    1,    6
  391,20150203,    2,    9
  391,20150203,    3,    7
  391,20150203,    4,    7
  391,20150203,    5,    7
  391,20150203,    6,    6
  391,20150203,    7,    5
  391,20150203,    8,    6
  391,20150203,    9,    9
  391,20150203,   10,   20
  391,20150203,   11,   23
  391,20150203,   12,   35
  391,20150203,   13,   38
  391,20150203,   14,   44
  391,20150203,   15,   37
  391,20150203,   16,   29
  391,20150203,   17,    6
  391,20150203,   18,    8
  391,20150203,   19,   16
  391,20150203,   20,    1
  391,20150203,   21,   -5
  391,20150203,   22,  -17
  391,20150203,   23,  -14
  391,20150203,   24,  -12
  391,20150204,    1,  -25
  391,20150204,    2,  -15
  391,20150204,    3,  -16
  391,20150204,    4,  -25
  391,20150204,    5,  -33
  391,20150204,    6,  -31
  391,20150204,    7,  -29
  391,20150204,    8,  -25
  391,20150204,    9,    1
  391,20150204,   10,   18
  391,20150204,   11,   29
  391,20150204,   12,   37
  391,20150204,   13,   38
  391,20150204,   14,   36
  391,20150204,   15,   24
  391,20150204,   16,   14
  391,20150204,   17,  -10
  391,20150204,   18,  -16
  391,20150204,   19,  -22
  391,20150204,   20,  -12
  391,20150204,   21,  -29
  391,20150204,   22,  -36
  391,20150204,   23,  -43
  391,20150204,   24,  -48
  391,20150205,    1,  -51
  391,20150205,    2,  -42
  391,20150205,    3,  -31
  391,20150205,    4,  -32
  391,20150205,    5,  -30
  391,20150205,    6,  -33
  391,20150205,    7,  -38
  391,20150205,    8,  -20
  391,20150205,    9,  -14
  391,20150205,   10,   -9
  391,20150205,   11,   -3
  391,20150205,   12,    7
  391,20150205,   13,    3
  391,20150205,   14,   14
  391,20150205,   15,    6
  391,20150205,   16,    6
  391,20150205,   17,   -4
  391,20150205,   18,   -3
  391,20150205,   19,    3
  391,20150205,   20,    5
  391,20150205,   21,   -2
  391,20150205,   22,   -6
  391,20150205,   23,   -8
  391,20150205,   24,  -14
  391,20150206,    1,  -17
  391,20150206,    2,  -21
  391,20150206,    3,  -24
  391,20150206,    4,  -25
  391,20150206,    5,  -28
  391,20150206,    6,  -26
  391,20150206,    7,  -27
  391,20150206,    8,  -23
  391,20150206,    9,  -13
  391,20150206,   10,    0
  391,20150206,   11,    6
  391,20150206,   12,   13
  391,20150206,   13,   20
  391,20150206,   14,   23
