# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20150501,    1,   27
  391,20150501,    2,   21
  391,20150501,    3,   17
  391,20150501,    4,   12
  391,20150501,    5,   22
  391,20150501,    6,   56
  391,20150501,    7,   73
  391,20150501,    8,   86
  391,20150501,    9,  107
  391,20150501,   10,  111
  391,20150501,   11,  128
  391,20150501,   12,  127
  391,20150501,   13,  135
  391,20150501,   14,  142
  391,20150501,   15,  134
  391,20150501,   16,  138
  391,20150501,   17,  136
  391,20150501,   18,  123
  391,20150501,   19,   89
  391,20150501,   20,   74
  391,20150501,   21,   78
  391,20150501,   22,   73
  391,20150501,   23,   65
  391,20150501,   24,   66
  391,20150502,    1,   53
  391,20150502,    2,   51
  391,20150502,    3,   42
  391,20150502,    4,   24
  391,20150502,    5,   30
  391,20150502,    6,   65
  391,20150502,    7,   92
  391,20150502,    8,  110
  391,20150502,    9,  125
  391,20150502,   10,  136
  391,20150502,   11,  139
  391,20150502,   12,  141
  391,20150502,   13,  152
  391,20150502,   14,  156
  391,20150502,   15,  160
  391,20150502,   16,  158
  391,20150502,   17,  152
  391,20150502,   18,  147
  391,20150502,   19,  136
  391,20150502,   20,  130
  391,20150502,   21,  127
  391,20150502,   22,  124
  391,20150502,   23,  111
  391,20150502,   24,  109
  391,20150503,    1,  105
  391,20150503,    2,  102
  391,20150503,    3,  102
  391,20150503,    4,  101
  391,20150503,    5,  105
  391,20150503,    6,  115
  391,20150503,    7,  138
  391,20150503,    8,  155
  391,20150503,    9,  161
  391,20150503,   10,  172
  391,20150503,   11,  162
  391,20150503,   12,  165
  391,20150503,   13,  154
  391,20150503,   14,  151
  391,20150503,   15,  153
  391,20150503,   16,  151
  391,20150503,   17,  160
  391,20150503,   18,  161
  391,20150503,   19,  153
  391,20150503,   20,  140
  391,20150503,   21,  141
  391,20150503,   22,  139
  391,20150503,   23,  134
  391,20150503,   24,  127
  391,20150504,    1,  126
  391,20150504,    2,  124
  391,20150504,    3,  130
  391,20150504,    4,  130
  391,20150504,    5,  131
  391,20150504,    6,  137
  391,20150504,    7,  148
  391,20150504,    8,  149
  391,20150504,    9,  158
  391,20150504,   10,  174
  391,20150504,   11,  177
  391,20150504,   12,  183
  391,20150504,   13,  192
  391,20150504,   14,  201
  391,20150504,   15,  197
  391,20150504,   16,  199
  391,20150504,   17,  194
  391,20150504,   18,  187
  391,20150504,   19,  176
  391,20150504,   20,  173
  391,20150504,   21,  160
  391,20150504,   22,  155
  391,20150504,   23,  151
  391,20150504,   24,  154
  391,20150505,    1,  154
  391,20150505,    2,  160
  391,20150505,    3,  158
  391,20150505,    4,  167
  391,20150505,    5,  178
  391,20150505,    6,  187
  391,20150505,    7,  191
  391,20150505,    8,  189
  391,20150505,    9,  218
  391,20150505,   10,  231
  391,20150505,   11,  230
  391,20150505,   12,  180
  391,20150505,   13,  171
  391,20150505,   14,  158
  391,20150505,   15,  180
  391,20150505,   16,  179
  391,20150505,   17,  166
  391,20150505,   18,  157
  391,20150505,   19,  131
  391,20150505,   20,  104
  391,20150505,   21,  107
  391,20150505,   22,  114
  391,20150505,   23,  111
  391,20150505,   24,  120
  391,20150506,    1,  120
  391,20150506,    2,  112
  391,20150506,    3,  110
  391,20150506,    4,  105
  391,20150506,    5,  109
  391,20150506,    6,  123
  391,20150506,    7,  133
  391,20150506,    8,  140
  391,20150506,    9,  144
  391,20150506,   10,  147
  391,20150506,   11,  154
  391,20150506,   12,  137
  391,20150506,   13,  163
  391,20150506,   14,  157
  391,20150506,   15,  155
  391,20150506,   16,  120
  391,20150506,   17,  137
  391,20150506,   18,  116
