# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20151101,    1,   57
  391,20151101,    2,   39
  391,20151101,    3,   40
  391,20151101,    4,   48
  391,20151101,    5,   49
  391,20151101,    6,   44
  391,20151101,    7,   49
  391,20151101,    8,   61
  391,20151101,    9,   85
  391,20151101,   10,  111
  391,20151101,   11,  122
  391,20151101,   12,  136
  391,20151101,   13,  151
  391,20151101,   14,  137
  391,20151101,   15,  128
  391,20151101,   16,  104
  391,20151101,   17,   83
  391,20151101,   18,   67
  391,20151101,   19,   65
  391,20151101,   20,   48
  391,20151101,   21,   37
  391,20151101,   22,   33
  391,20151101,   23,   33
  391,20151101,   24,   30
  391,20151102,    1,   33
  391,20151102,    2,   36
  391,20151102,    3,   27
  391,20151102,    4,   24
  391,20151102,    5,   24
  391,20151102,    6,   22
  391,20151102,    7,   18
  391,20151102,    8,   38
  391,20151102,    9,   88
  391,20151102,   10,  122
  391,20151102,   11,  135
  391,20151102,   12,  143
  391,20151102,   13,  148
  391,20151102,   14,  143
  391,20151102,   15,  134
  391,20151102,   16,  102
  391,20151102,   17,   70
  391,20151102,   18,   54
  391,20151102,   19,   48
  391,20151102,   20,   42
  391,20151102,   21,   65
  391,20151102,   22,   60
  391,20151102,   23,   58
  391,20151102,   24,   55
  391,20151103,    1,   45
  391,20151103,    2,   48
  391,20151103,    3,   48
  391,20151103,    4,   44
  391,20151103,    5,   43
  391,20151103,    6,   40
  391,20151103,    7,   37
  391,20151103,    8,   49
  391,20151103,    9,   62
  391,20151103,   10,   88
  391,20151103,   11,  103
  391,20151103,   12,  122
  391,20151103,   13,  128
  391,20151103,   14,  135
  391,20151103,   15,  120
  391,20151103,   16,  105
  391,20151103,   17,   92
  391,20151103,   18,  100
  391,20151103,   19,   95
  391,20151103,   20,  108
  391,20151103,   21,  110
  391,20151103,   22,  107
  391,20151103,   23,  105
  391,20151103,   24,   93
  391,20151104,    1,   79
  391,20151104,    2,   81
  391,20151104,    3,   77
  391,20151104,    4,   74
  391,20151104,    5,   66
  391,20151104,    6,   68
  391,20151104,    7,   80
  391,20151104,    8,   90
  391,20151104,    9,  107
  391,20151104,   10,  139
  391,20151104,   11,  144
  391,20151104,   12,  142
  391,20151104,   13,  151
  391,20151104,   14,  152
  391,20151104,   15,  141
  391,20151104,   16,  136
  391,20151104,   17,  124
  391,20151104,   18,  115
  391,20151104,   19,  124
  391,20151104,   20,  131
  391,20151104,   21,  128
  391,20151104,   22,  129
  391,20151104,   23,  127
  391,20151104,   24,  126
  391,20151105,    1,  122
  391,20151105,    2,  120
  391,20151105,    3,  113
  391,20151105,    4,  107
  391,20151105,    5,  103
  391,20151105,    6,  105
  391,20151105,    7,  103
  391,20151105,    8,  113
  391,20151105,    9,  130
  391,20151105,   10,  141
  391,20151105,   11,  147
  391,20151105,   12,  150
  391,20151105,   13,  156
  391,20151105,   14,  158
  391,20151105,   15,  158
  391,20151105,   16,  153
  391,20151105,   17,  152
  391,20151105,   18,  150
  391,20151105,   19,  153
  391,20151105,   20,  150
  391,20151105,   21,  138
  391,20151105,   22,  136
  391,20151105,   23,  136
  391,20151105,   24,  134
  391,20151106,    1,  134
  391,20151106,    2,  135
  391,20151106,    3,  140
  391,20151106,    4,  142
  391,20151106,    5,  144
  391,20151106,    6,  143
  391,20151106,    7,  141
  391,20151106,    8,  141
  391,20151106,    9,  146
  391,20151106,   10,  156
  391,20151106,   11,  161
  391,20151106,   12,  169
  391,20151106,   13,  172
  391,20151106,   14,  169
  391,20151106,   15,  167
  391,20151106,   16,  161
  391,20151106,   17,  156
  391,20151106,   18,  157
