# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20171001,    1,   96
  391,20171001,    2,   96
  391,20171001,    3,   95
  391,20171001,    4,   97
  391,20171001,    5,   98
  391,20171001,    6,  100
  391,20171001,    7,  101
  391,20171001,    8,  118
  391,20171001,    9,  139
  391,20171001,   10,  160
  391,20171001,   11,  170
  391,20171001,   12,  180
  391,20171001,   13,  181
  391,20171001,   14,  176
  391,20171001,   15,  171
  391,20171001,   16,  164
  391,20171001,   17,  160
  391,20171001,   18,  155
  391,20171001,   19,  153
  391,20171001,   20,  149
  391,20171001,   21,  151
  391,20171001,   22,  149
  391,20171001,   23,  146
  391,20171001,   24,  150
  391,20171002,    1,  152
  391,20171002,    2,  155
  391,20171002,    3,  146
  391,20171002,    4,  151
  391,20171002,    5,  154
  391,20171002,    6,  157
  391,20171002,    7,  160
  391,20171002,    8,  161
  391,20171002,    9,  167
  391,20171002,   10,  178
  391,20171002,   11,  191
  391,20171002,   12,  184
  391,20171002,   13,  189
  391,20171002,   14,  183
  391,20171002,   15,  185
  391,20171002,   16,  173
  391,20171002,   17,  161
  391,20171002,   18,  155
  391,20171002,   19,  152
  391,20171002,   20,  149
  391,20171002,   21,  141
  391,20171002,   22,  139
  391,20171002,   23,  136
  391,20171002,   24,  129
  391,20171003,    1,  127
  391,20171003,    2,  122
  391,20171003,    3,  114
  391,20171003,    4,  112
  391,20171003,    5,  112
  391,20171003,    6,  112
  391,20171003,    7,  118
  391,20171003,    8,  131
  391,20171003,    9,  147
  391,20171003,   10,  157
  391,20171003,   11,  158
  391,20171003,   12,  160
  391,20171003,   13,  154
  391,20171003,   14,  155
  391,20171003,   15,  145
  391,20171003,   16,  143
  391,20171003,   17,  126
  391,20171003,   18,  118
  391,20171003,   19,  113
  391,20171003,   20,  108
  391,20171003,   21,  114
  391,20171003,   22,  114
  391,20171003,   23,  115
  391,20171003,   24,  113
  391,20171004,    1,  113
  391,20171004,    2,  111
  391,20171004,    3,  113
  391,20171004,    4,  112
  391,20171004,    5,  108
  391,20171004,    6,  101
  391,20171004,    7,  105
  391,20171004,    8,  113
  391,20171004,    9,  124
  391,20171004,   10,  135
  391,20171004,   11,  140
  391,20171004,   12,  143
  391,20171004,   13,  142
  391,20171004,   14,  142
  391,20171004,   15,  137
  391,20171004,   16,  135
  391,20171004,   17,  134
  391,20171004,   18,  128
  391,20171004,   19,  128
  391,20171004,   20,  130
  391,20171004,   21,  132
  391,20171004,   22,  132
  391,20171004,   23,  126
  391,20171004,   24,  122
  391,20171005,    1,  124
  391,20171005,    2,  126
  391,20171005,    3,  128
  391,20171005,    4,  118
  391,20171005,    5,  116
  391,20171005,    6,  117
  391,20171005,    7,  126
  391,20171005,    8,  132
  391,20171005,    9,  141
  391,20171005,   10,  141
  391,20171005,   11,  150
  391,20171005,   12,  148
  391,20171005,   13,  138
  391,20171005,   14,  143
  391,20171005,   15,  148
  391,20171005,   16,  133
  391,20171005,   17,  119
  391,20171005,   18,  111
  391,20171005,   19,  110
  391,20171005,   20,  101
  391,20171005,   21,   96
  391,20171005,   22,   87
  391,20171005,   23,   86
  391,20171005,   24,   76
  391,20171006,    1,   80
  391,20171006,    2,   92
  391,20171006,    3,   90
  391,20171006,    4,   90
  391,20171006,    5,   87
  391,20171006,    6,   85
  391,20171006,    7,   96
  391,20171006,    8,  113
  391,20171006,    9,  105
  391,20171006,   10,  126
  391,20171006,   11,  127
  391,20171006,   12,  124
  391,20171006,   13,  150
  391,20171006,   14,  143
  391,20171006,   15,  140
  391,20171006,   16,  132
  391,20171006,   17,  114
  391,20171006,   18,  108
  391,20171006,   19,   98
  391,20171006,   20,  101
  391,20171006,   21,   92
  391,20171006,   22,  100
  391,20171006,   23,   97
  391,20171006,   24,  100
  391,20171007,    1,   98
  391,20171007,    2,   97
  391,20171007,    3,   99
  391,20171007,    4,   97
  391,20171007,    5,   99
  391,20171007,    6,   96
  391,20171007,    7,  101
  391,20171007,    8,  105
  391,20171007,    9,  112
  391,20171007,   10,  105
  391,20171007,   11,  106
  391,20171007,   12,  105
  391,20171007,   13,  108
  391,20171007,   14,  111
  391,20171007,   15,  114
  391,20171007,   16,  111
  391,20171007,   17,  112
  391,20171007,   18,  112
  391,20171007,   19,  112
  391,20171007,   20,  108
  391,20171007,   21,  108
  391,20171007,   22,  109
  391,20171007,   23,  114
  391,20171007,   24,  118
  391,20171008,    1,  117
  391,20171008,    2,  113
  391,20171008,    3,  114
  391,20171008,    4,  112
  391,20171008,    5,  110
  391,20171008,    6,  115
  391,20171008,    7,  120
  391,20171008,    8,  130
  391,20171008,    9,  139
  391,20171008,   10,  143
  391,20171008,   11,  155
  391,20171008,   12,  137
  391,20171008,   13,  140
  391,20171008,   14,  135
  391,20171008,   15,  139
  391,20171008,   16,  128
  391,20171008,   17,  112
  391,20171008,   18,  109
  391,20171008,   19,   92
  391,20171008,   20,   81
  391,20171008,   21,   93
  391,20171008,   22,   82
  391,20171008,   23,   65
  391,20171008,   24,   58
  391,20171009,    1,   64
  391,20171009,    2,   74
  391,20171009,    3,   82
  391,20171009,    4,   83
  391,20171009,    5,   88
  391,20171009,    6,   91
  391,20171009,    7,   97
  391,20171009,    8,  105
  391,20171009,    9,  111
  391,20171009,   10,  123
  391,20171009,   11,  135
  391,20171009,   12,  142
  391,20171009,   13,  144
  391,20171009,   14,  142
  391,20171009,   15,  142
  391,20171009,   16,  141
  391,20171009,   17,  124
  391,20171009,   18,  119
  391,20171009,   19,  118
  391,20171009,   20,  121
  391,20171009,   21,  125
  391,20171009,   22,  127
  391,20171009,   23,  126
  391,20171009,   24,  126
  391,20171010,    1,  126
  391,20171010,    2,  126
  391,20171010,    3,  127
  391,20171010,    4,  128
  391,20171010,    5,  128
  391,20171010,    6,  129
  391,20171010,    7,  133
  391,20171010,    8,  138
  391,20171010,    9,  150
  391,20171010,   10,  150
  391,20171010,   11,  154
  391,20171010,   12,  156
  391,20171010,   13,  151
  391,20171010,   14,  152
  391,20171010,   15,  154
  391,20171010,   16,  155
  391,20171010,   17,  150
  391,20171010,   18,  150
  391,20171010,   19,  151
  391,20171010,   20,  149
  391,20171010,   21,  149
  391,20171010,   22,  142
  391,20171010,   23,  140
  391,20171010,   24,  136
  391,20171011,    1,  137
  391,20171011,    2,  137
  391,20171011,    3,  131
  391,20171011,    4,  132
  391,20171011,    5,  132
  391,20171011,    6,  135
  391,20171011,    7,  138
  391,20171011,    8,  145
  391,20171011,    9,  150
  391,20171011,   10,  152
  391,20171011,   11,  156
  391,20171011,   12,  158
  391,20171011,   13,  157
  391,20171011,   14,  153
  391,20171011,   15,  151
