# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20091101,    1,   93
  391,20091101,    2,   95
  391,20091101,    3,   95
  391,20091101,    4,   95
  391,20091101,    5,   93
  391,20091101,    6,   88
  391,20091101,    7,   86
  391,20091101,    8,   88
  391,20091101,    9,   98
  391,20091101,   10,  101
  391,20091101,   11,  113
  391,20091101,   12,  126
  391,20091101,   13,  142
  391,20091101,   14,  154
  391,20091101,   15,  147
  391,20091101,   16,  133
  391,20091101,   17,  133
  391,20091101,   18,  128
  391,20091101,   19,  124
  391,20091101,   20,  125
  391,20091101,   21,  126
  391,20091101,   22,  128
  391,20091101,   23,  133
  391,20091101,   24,  129
  391,20091102,    1,  124
  391,20091102,    2,  118
  391,20091102,    3,  116
  391,20091102,    4,  111
  391,20091102,    5,  100
  391,20091102,    6,   99
  391,20091102,    7,   96
  391,20091102,    8,  102
  391,20091102,    9,  106
  391,20091102,   10,  116
  391,20091102,   11,  123
  391,20091102,   12,  114
  391,20091102,   13,  116
  391,20091102,   14,  116
  391,20091102,   15,  112
  391,20091102,   16,  103
  391,20091102,   17,   89
  391,20091102,   18,   74
  391,20091102,   19,   78
  391,20091102,   20,   73
  391,20091102,   21,   67
  391,20091102,   22,   63
  391,20091102,   23,   57
  391,20091102,   24,   52
  391,20091103,    1,   50
  391,20091103,    2,   43
  391,20091103,    3,   46
  391,20091103,    4,   44
  391,20091103,    5,   45
  391,20091103,    6,   45
  391,20091103,    7,   41
  391,20091103,    8,   61
  391,20091103,    9,   83
  391,20091103,   10,   96
  391,20091103,   11,  102
  391,20091103,   12,  108
  391,20091103,   13,  110
  391,20091103,   14,  110
  391,20091103,   15,  103
  391,20091103,   16,   95
  391,20091103,   17,   91
  391,20091103,   18,   87
  391,20091103,   19,   83
  391,20091103,   20,   84
  391,20091103,   21,   88
  391,20091103,   22,   93
  391,20091103,   23,   93
  391,20091103,   24,   93
  391,20091104,    1,   94
  391,20091104,    2,   83
  391,20091104,    3,   82
  391,20091104,    4,   79
  391,20091104,    5,   74
  391,20091104,    6,   67
  391,20091104,    7,   73
  391,20091104,    8,   78
  391,20091104,    9,   76
  391,20091104,   10,   77
  391,20091104,   11,   83
  391,20091104,   12,   87
  391,20091104,   13,  105
  391,20091104,   14,  106
  391,20091104,   15,  109
  391,20091104,   16,   99
  391,20091104,   17,   81
  391,20091104,   18,   86
  391,20091104,   19,   86
  391,20091104,   20,   79
  391,20091104,   21,   71
  391,20091104,   22,   70
  391,20091104,   23,   72
  391,20091104,   24,   82
  391,20091105,    1,   79
  391,20091105,    2,   74
  391,20091105,    3,   77
  391,20091105,    4,   78
  391,20091105,    5,   80
  391,20091105,    6,   76
  391,20091105,    7,   79
  391,20091105,    8,   87
  391,20091105,    9,   88
  391,20091105,   10,   88
  391,20091105,   11,   86
  391,20091105,   12,   90
  391,20091105,   13,   85
  391,20091105,   14,   85
  391,20091105,   15,   91
  391,20091105,   16,   84
  391,20091105,   17,   82
  391,20091105,   18,   85
  391,20091105,   19,   82
  391,20091105,   20,   80
  391,20091105,   21,   74
  391,20091105,   22,   70
  391,20091105,   23,   68
  391,20091105,   24,   73
  391,20091106,    1,   77
  391,20091106,    2,   76
  391,20091106,    3,   75
  391,20091106,    4,   75
  391,20091106,    5,   75
  391,20091106,    6,   72
  391,20091106,    7,   78
  391,20091106,    8,   84
  391,20091106,    9,   90
  391,20091106,   10,   96
  391,20091106,   11,  102
  391,20091106,   12,  107
  391,20091106,   13,  115
  391,20091106,   14,  110
  391,20091106,   15,  108
  391,20091106,   16,  102
  391,20091106,   17,   97
  391,20091106,   18,   96
  391,20091106,   19,   89
  391,20091106,   20,   93
  391,20091106,   21,   88
  391,20091106,   22,   92
  391,20091106,   23,   94
  391,20091106,   24,   96
  391,20091107,    1,   90
  391,20091107,    2,   93
  391,20091107,    3,   82
  391,20091107,    4,   78
  391,20091107,    5,   78
  391,20091107,    6,   79
  391,20091107,    7,   80
  391,20091107,    8,   80
  391,20091107,    9,   81
  391,20091107,   10,   82
  391,20091107,   11,   91
  391,20091107,   12,   97
  391,20091107,   13,   99
  391,20091107,   14,  109
  391,20091107,   15,   99
  391,20091107,   16,   76
  391,20091107,   17,   71
  391,20091107,   18,   73
  391,20091107,   19,   65
