# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20180201,    1,   28
  391,20180201,    2,   23
  391,20180201,    3,   19
  391,20180201,    4,   17
  391,20180201,    5,   17
  391,20180201,    6,   15
  391,20180201,    7,   14
  391,20180201,    8,   21
  391,20180201,    9,   29
  391,20180201,   10,   37
  391,20180201,   11,   40
  391,20180201,   12,   41
  391,20180201,   13,   35
  391,20180201,   14,   32
  391,20180201,   15,   42
  391,20180201,   16,   41
  391,20180201,   17,   39
  391,20180201,   18,   29
  391,20180201,   19,   25
  391,20180201,   20,   24
  391,20180201,   21,   23
  391,20180201,   22,   26
  391,20180201,   23,   29
  391,20180201,   24,   23
  391,20180202,    1,   27
  391,20180202,    2,   26
  391,20180202,    3,   30
  391,20180202,    4,   33
  391,20180202,    5,   39
  391,20180202,    6,   39
  391,20180202,    7,   38
  391,20180202,    8,   29
  391,20180202,    9,   34
  391,20180202,   10,   46
  391,20180202,   11,   60
  391,20180202,   12,   62
  391,20180202,   13,   59
  391,20180202,   14,   63
  391,20180202,   15,   57
  391,20180202,   16,   56
  391,20180202,   17,   48
  391,20180202,   18,   44
  391,20180202,   19,   42
  391,20180202,   20,   44
  391,20180202,   21,   41
  391,20180202,   22,   37
  391,20180202,   23,   35
  391,20180202,   24,   31
  391,20180203,    1,   20
  391,20180203,    2,   15
  391,20180203,    3,   18
  391,20180203,    4,   18
  391,20180203,    5,   15
  391,20180203,    6,   11
  391,20180203,    7,    8
  391,20180203,    8,   14
  391,20180203,    9,   27
  391,20180203,   10,   40
  391,20180203,   11,   44
  391,20180203,   12,   45
  391,20180203,   13,   53
  391,20180203,   14,   49
  391,20180203,   15,   44
  391,20180203,   16,   41
  391,20180203,   17,   35
  391,20180203,   18,   34
  391,20180203,   19,   31
  391,20180203,   20,   27
  391,20180203,   21,   27
  391,20180203,   22,   18
  391,20180203,   23,    9
  391,20180203,   24,    7
  391,20180204,    1,    4
  391,20180204,    2,    0
  391,20180204,    3,   -2
  391,20180204,    4,   -3
  391,20180204,    5,   -2
  391,20180204,    6,    0
  391,20180204,    7,    1
  391,20180204,    8,   -1
  391,20180204,    9,    8
  391,20180204,   10,    4
  391,20180204,   11,    8
  391,20180204,   12,   14
  391,20180204,   13,   12
  391,20180204,   14,   13
  391,20180204,   15,   11
  391,20180204,   16,   14
  391,20180204,   17,    5
  391,20180204,   18,   -1
  391,20180204,   19,   -1
  391,20180204,   20,    3
  391,20180204,   21,    5
  391,20180204,   22,    4
  391,20180204,   23,   -1
  391,20180204,   24,   -5
  391,20180205,    1,   -4
  391,20180205,    2,  -11
  391,20180205,    3,  -12
  391,20180205,    4,  -12
  391,20180205,    5,  -13
  391,20180205,    6,  -14
  391,20180205,    7,  -11
  391,20180205,    8,   -9
  391,20180205,    9,    4
  391,20180205,   10,   15
  391,20180205,   11,   20
  391,20180205,   12,   29
  391,20180205,   13,   36
  391,20180205,   14,   35
  391,20180205,   15,   31
  391,20180205,   16,   17
  391,20180205,   17,    8
  391,20180205,   18,    4
  391,20180205,   19,    0
  391,20180205,   20,   -7
  391,20180205,   21,  -11
  391,20180205,   22,  -16
  391,20180205,   23,  -24
  391,20180205,   24,  -25
  391,20180206,    1,  -25
  391,20180206,    2,  -26
  391,20180206,    3,  -29
  391,20180206,    4,  -33
  391,20180206,    5,  -34
  391,20180206,    6,  -32
  391,20180206,    7,  -34
  391,20180206,    8,  -32
  391,20180206,    9,  -14
  391,20180206,   10,   -6
  391,20180206,   11,   -2
  391,20180206,   12,    6
  391,20180206,   13,    6
  391,20180206,   14,    3
  391,20180206,   15,    0
  391,20180206,   16,    0
