# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20100901,    1,   77
  391,20100901,    2,   75
  391,20100901,    3,   72
  391,20100901,    4,   66
  391,20100901,    5,   61
  391,20100901,    6,   80
  391,20100901,    7,  110
  391,20100901,    8,  137
  391,20100901,    9,  144
  391,20100901,   10,  152
  391,20100901,   11,  166
  391,20100901,   12,  168
  391,20100901,   13,  169
  391,20100901,   14,  175
  391,20100901,   15,  173
  391,20100901,   16,  163
  391,20100901,   17,  160
  391,20100901,   18,  153
  391,20100901,   19,  139
  391,20100901,   20,  131
  391,20100901,   21,  118
  391,20100901,   22,  106
  391,20100901,   23,   98
  391,20100901,   24,   91
  391,20100902,    1,   87
  391,20100902,    2,   85
  391,20100902,    3,   80
  391,20100902,    4,   78
  391,20100902,    5,   75
  391,20100902,    6,   84
  391,20100902,    7,  117
  391,20100902,    8,  141
  391,20100902,    9,  152
  391,20100902,   10,  155
  391,20100902,   11,  170
  391,20100902,   12,  174
  391,20100902,   13,  173
  391,20100902,   14,  175
  391,20100902,   15,  165
  391,20100902,   16,  156
  391,20100902,   17,  150
  391,20100902,   18,  147
  391,20100902,   19,  139
  391,20100902,   20,  135
  391,20100902,   21,  120
  391,20100902,   22,  111
  391,20100902,   23,  110
  391,20100902,   24,  105
  391,20100903,    1,  114
  391,20100903,    2,  124
  391,20100903,    3,  118
  391,20100903,    4,  116
  391,20100903,    5,  113
  391,20100903,    6,  112
  391,20100903,    7,  113
  391,20100903,    8,  120
  391,20100903,    9,  132
  391,20100903,   10,  146
  391,20100903,   11,  160
  391,20100903,   12,  175
  391,20100903,   13,  179
  391,20100903,   14,  185
  391,20100903,   15,  182
  391,20100903,   16,  180
  391,20100903,   17,  175
  391,20100903,   18,  150
  391,20100903,   19,  139
  391,20100903,   20,  140
  391,20100903,   21,  130
  391,20100903,   22,  119
  391,20100903,   23,  111
  391,20100903,   24,  106
  391,20100904,    1,   98
  391,20100904,    2,   92
  391,20100904,    3,   84
  391,20100904,    4,   89
  391,20100904,    5,  111
  391,20100904,    6,  110
  391,20100904,    7,  114
  391,20100904,    8,  139
  391,20100904,    9,  156
  391,20100904,   10,  160
  391,20100904,   11,  165
  391,20100904,   12,  179
  391,20100904,   13,  190
  391,20100904,   14,  191
  391,20100904,   15,  197
  391,20100904,   16,  177
  391,20100904,   17,  166
  391,20100904,   18,  139
  391,20100904,   19,  122
  391,20100904,   20,  113
  391,20100904,   21,  101
  391,20100904,   22,   96
  391,20100904,   23,   94
  391,20100904,   24,   83
  391,20100905,    1,   85
  391,20100905,    2,   84
  391,20100905,    3,   86
  391,20100905,    4,   79
  391,20100905,    5,   74
  391,20100905,    6,   86
  391,20100905,    7,  119
  391,20100905,    8,  142
  391,20100905,    9,  163
  391,20100905,   10,  169
  391,20100905,   11,  176
  391,20100905,   12,  185
  391,20100905,   13,  181
  391,20100905,   14,  189
  391,20100905,   15,  190
  391,20100905,   16,  189
  391,20100905,   17,  178
  391,20100905,   18,  160
  391,20100905,   19,  141
  391,20100905,   20,  134
  391,20100905,   21,  134
  391,20100905,   22,  127
  391,20100905,   23,  120
  391,20100905,   24,  115
  391,20100906,    1,  112
  391,20100906,    2,  109
  391,20100906,    3,  101
  391,20100906,    4,   98
  391,20100906,    5,   92
  391,20100906,    6,  101
  391,20100906,    7,  120
  391,20100906,    8,  141
  391,20100906,    9,  166
  391,20100906,   10,  186
  391,20100906,   11,  200
  391,20100906,   12,  200
  391,20100906,   13,  203
  391,20100906,   14,  203
  391,20100906,   15,  201
  391,20100906,   16,  195
  391,20100906,   17,  182
  391,20100906,   18,  166
