# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20100801,    1,  176
  391,20100801,    2,  174
  391,20100801,    3,  164
  391,20100801,    4,  168
  391,20100801,    5,  172
  391,20100801,    6,  180
  391,20100801,    7,  187
  391,20100801,    8,  199
  391,20100801,    9,  211
  391,20100801,   10,  229
  391,20100801,   11,  232
  391,20100801,   12,  247
  391,20100801,   13,  235
  391,20100801,   14,  235
  391,20100801,   15,  232
  391,20100801,   16,  230
  391,20100801,   17,  216
  391,20100801,   18,  203
  391,20100801,   19,  190
  391,20100801,   20,  183
  391,20100801,   21,  176
  391,20100801,   22,  158
  391,20100801,   23,  147
  391,20100801,   24,  146
  391,20100802,    1,  154
  391,20100802,    2,  162
  391,20100802,    3,  159
  391,20100802,    4,  158
  391,20100802,    5,  158
  391,20100802,    6,  160
  391,20100802,    7,  165
  391,20100802,    8,  172
  391,20100802,    9,  175
  391,20100802,   10,  182
  391,20100802,   11,  197
  391,20100802,   12,  201
  391,20100802,   13,  217
  391,20100802,   14,  214
  391,20100802,   15,  208
  391,20100802,   16,  165
  391,20100802,   17,  167
  391,20100802,   18,  167
  391,20100802,   19,  161
  391,20100802,   20,  158
  391,20100802,   21,  152
  391,20100802,   22,  154
  391,20100802,   23,  156
  391,20100802,   24,  153
  391,20100803,    1,  150
  391,20100803,    2,  144
  391,20100803,    3,  137
  391,20100803,    4,  129
  391,20100803,    5,  133
  391,20100803,    6,  136
  391,20100803,    7,  148
  391,20100803,    8,  159
  391,20100803,    9,  175
  391,20100803,   10,  182
  391,20100803,   11,  189
  391,20100803,   12,  212
  391,20100803,   13,  211
  391,20100803,   14,  210
  391,20100803,   15,  225
  391,20100803,   16,  222
  391,20100803,   17,  219
  391,20100803,   18,  201
  391,20100803,   19,  176
  391,20100803,   20,  160
  391,20100803,   21,  172
  391,20100803,   22,  164
  391,20100803,   23,  164
  391,20100803,   24,  158
  391,20100804,    1,  153
  391,20100804,    2,  152
  391,20100804,    3,  155
  391,20100804,    4,  149
  391,20100804,    5,  153
  391,20100804,    6,  156
  391,20100804,    7,  164
  391,20100804,    8,  171
  391,20100804,    9,  195
  391,20100804,   10,  196
  391,20100804,   11,  200
  391,20100804,   12,  181
  391,20100804,   13,  182
  391,20100804,   14,  199
  391,20100804,   15,  200
  391,20100804,   16,  150
  391,20100804,   17,  161
  391,20100804,   18,  169
  391,20100804,   19,  165
  391,20100804,   20,  160
  391,20100804,   21,  165
  391,20100804,   22,  164
  391,20100804,   23,  165
  391,20100804,   24,  152
  391,20100805,    1,  147
  391,20100805,    2,  142
  391,20100805,    3,  140
  391,20100805,    4,  139
  391,20100805,    5,  138
  391,20100805,    6,  140
  391,20100805,    7,  161
  391,20100805,    8,  178
  391,20100805,    9,  185
  391,20100805,   10,  186
  391,20100805,   11,  197
  391,20100805,   12,  180
  391,20100805,   13,  178
  391,20100805,   14,  183
  391,20100805,   15,  179
  391,20100805,   16,  180
  391,20100805,   17,  191
  391,20100805,   18,  171
  391,20100805,   19,  165
  391,20100805,   20,  156
  391,20100805,   21,  149
  391,20100805,   22,  137
  391,20100805,   23,  120
  391,20100805,   24,  115
  391,20100806,    1,  110
  391,20100806,    2,  106
  391,20100806,    3,  106
  391,20100806,    4,  104
  391,20100806,    5,  109
  391,20100806,    6,  130
  391,20100806,    7,  150
  391,20100806,    8,  177
  391,20100806,    9,  194
  391,20100806,   10,  194
  391,20100806,   11,  201
  391,20100806,   12,  206
  391,20100806,   13,  225
  391,20100806,   14,  210
  391,20100806,   15,  210
  391,20100806,   16,  221
  391,20100806,   17,  209
  391,20100806,   18,  195
