# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  391,20110701,    1,  110
  391,20110701,    2,  112
  391,20110701,    3,  114
  391,20110701,    4,  114
  391,20110701,    5,  122
  391,20110701,    6,  129
  391,20110701,    7,  149
  391,20110701,    8,  160
  391,20110701,    9,  170
  391,20110701,   10,  184
  391,20110701,   11,  170
  391,20110701,   12,  183
  391,20110701,   13,  148
  391,20110701,   14,  190
  391,20110701,   15,  147
  391,20110701,   16,  156
  391,20110701,   17,  139
  391,20110701,   18,  141
  391,20110701,   19,  133
  391,20110701,   20,  123
  391,20110701,   21,  114
  391,20110701,   22,   99
  391,20110701,   23,   92
  391,20110701,   24,   83
  391,20110702,    1,   82
  391,20110702,    2,   78
  391,20110702,    3,   91
  391,20110702,    4,   96
  391,20110702,    5,  103
  391,20110702,    6,  118
  391,20110702,    7,  123
  391,20110702,    8,  161
  391,20110702,    9,  161
  391,20110702,   10,  166
  391,20110702,   11,  155
  391,20110702,   12,  173
  391,20110702,   13,  184
  391,20110702,   14,  182
  391,20110702,   15,  185
  391,20110702,   16,  178
  391,20110702,   17,  166
  391,20110702,   18,  164
  391,20110702,   19,  155
  391,20110702,   20,  136
  391,20110702,   21,  125
  391,20110702,   22,  116
  391,20110702,   23,  106
  391,20110702,   24,  102
  391,20110703,    1,  108
  391,20110703,    2,  102
  391,20110703,    3,  105
  391,20110703,    4,  102
  391,20110703,    5,  112
  391,20110703,    6,  125
  391,20110703,    7,  139
  391,20110703,    8,  144
  391,20110703,    9,  154
  391,20110703,   10,  163
  391,20110703,   11,  170
  391,20110703,   12,  180
  391,20110703,   13,  185
  391,20110703,   14,  188
  391,20110703,   15,  194
  391,20110703,   16,  201
  391,20110703,   17,  198
  391,20110703,   18,  187
  391,20110703,   19,  171
  391,20110703,   20,  150
  391,20110703,   21,  136
  391,20110703,   22,  122
  391,20110703,   23,  110
  391,20110703,   24,  118
  391,20110704,    1,  127
  391,20110704,    2,  131
  391,20110704,    3,  131
  391,20110704,    4,  131
  391,20110704,    5,  131
  391,20110704,    6,  134
  391,20110704,    7,  137
  391,20110704,    8,  140
  391,20110704,    9,  147
  391,20110704,   10,  154
  391,20110704,   11,  176
  391,20110704,   12,  184
  391,20110704,   13,  195
  391,20110704,   14,  203
  391,20110704,   15,  209
  391,20110704,   16,  213
  391,20110704,   17,  215
  391,20110704,   18,  204
  391,20110704,   19,  189
  391,20110704,   20,  161
  391,20110704,   21,  142
  391,20110704,   22,  124
  391,20110704,   23,  117
  391,20110704,   24,  113
  391,20110705,    1,  103
  391,20110705,    2,   93
  391,20110705,    3,   96
  391,20110705,    4,   95
  391,20110705,    5,  116
  391,20110705,    6,  146
  391,20110705,    7,  168
  391,20110705,    8,  182
  391,20110705,    9,  191
  391,20110705,   10,  210
  391,20110705,   11,  225
  391,20110705,   12,  234
  391,20110705,   13,  239
  391,20110705,   14,  248
  391,20110705,   15,  252
  391,20110705,   16,  252
  391,20110705,   17,  256
  391,20110705,   18,  247
  391,20110705,   19,  226
  391,20110705,   20,  206
  391,20110705,   21,  192
  391,20110705,   22,  182
  391,20110705,   23,  192
  391,20110705,   24,  185
  391,20110706,    1,  187
  391,20110706,    2,  179
  391,20110706,    3,  178
  391,20110706,    4,  173
  391,20110706,    5,  181
  391,20110706,    6,  183
  391,20110706,    7,  182
  391,20110706,    8,  186
  391,20110706,    9,  207
  391,20110706,   10,  216
  391,20110706,   11,  218
  391,20110706,   12,  225
  391,20110706,   13,  219
  391,20110706,   14,  164
  391,20110706,   15,  176
  391,20110706,   16,  176
  391,20110706,   17,  190
  391,20110706,   18,  185
  391,20110706,   19,  180
  391,20110706,   20,  161
  391,20110706,   21,  147
  391,20110706,   22,  138
  391,20110706,   23,  143
  391,20110706,   24,  129
  391,20110707,    1,  143
  391,20110707,    2,  151
  391,20110707,    3,  153
  391,20110707,    4,  152
  391,20110707,    5,  158
  391,20110707,    6,  168
  391,20110707,    7,  183
  391,20110707,    8,  200
  391,20110707,    9,  210
  391,20110707,   10,  211
  391,20110707,   11,  219
  391,20110707,   12,  217
  391,20110707,   13,  233
  391,20110707,   14,  239
  391,20110707,   15,  233
  391,20110707,   16,  231
  391,20110707,   17,  234
  391,20110707,   18,  228
  391,20110707,   19,  206
  391,20110707,   20,  171
  391,20110707,   21,  150
  391,20110707,   22,  141
  391,20110707,   23,  135
  391,20110707,   24,  143
  391,20110708,    1,  160
  391,20110708,    2,  156
  391,20110708,    3,  152
  391,20110708,    4,  154
  391,20110708,    5,  159
  391,20110708,    6,  166
  391,20110708,    7,  173
  391,20110708,    8,  180
  391,20110708,    9,  197
  391,20110708,   10,  210
  391,20110708,   11,  202
  391,20110708,   12,  206
  391,20110708,   13,  223
  391,20110708,   14,  223
  391,20110708,   15,  222
  391,20110708,   16,  233
  391,20110708,   17,  229
  391,20110708,   18,  216
  391,20110708,   19,  209
  391,20110708,   20,  191
  391,20110708,   21,  171
  391,20110708,   22,  164
  391,20110708,   23,  149
  391,20110708,   24,  145
  391,20110709,    1,  161
  391,20110709,    2,  167
  391,20110709,    3,  168
  391,20110709,    4,  160
  391,20110709,    5,  161
  391,20110709,    6,  156
  391,20110709,    7,  166
  391,20110709,    8,  182
  391,20110709,    9,  211
  391,20110709,   10,  228
  391,20110709,   11,  203
  391,20110709,   12,  202
  391,20110709,   13,  208
  391,20110709,   14,  199
  391,20110709,   15,  212
  391,20110709,   16,  206
  391,20110709,   17,  205
  391,20110709,   18,  203
  391,20110709,   19,  192
  391,20110709,   20,  172
  391,20110709,   21,  152
  391,20110709,   22,  132
  391,20110709,   23,  124
  391,20110709,   24,  119
  391,20110710,    1,  114
  391,20110710,    2,  109
  391,20110710,    3,  106
  391,20110710,    4,  105
  391,20110710,    5,  116
  391,20110710,    6,  148
  391,20110710,    7,  171
  391,20110710,    8,  192
